Code,Officialname,Province,County,Sub county,Ward,Facility type,Owner type,,,,Constituency,,,,,,,,,,,,,,Open_whole_day,Open_weekends,Operation status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
14180,10 Engineer VCT,Laikipia,Laikipia,Laikipia East,Nanyuki,Dispensary,Ministry of Health,,,,Laikipia East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
17486,12 Engineers,Kiambu,Kiambu,Thika Town,Hospital,Dispensary,Ministry of Health,,,,Thika Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
18772,360 MEDICARE CLINIC,Nyamira,Nyamira,Manga,Manga,Medical Clinic,Private Practice,,,,Kitutu Masaba,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
14181,3KR Health Centre,Nakuru,Nakuru,Nakuru East,Menengai,Basic Health Centre,Ministry of Health,,,,Nakuru Town East,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
11917,78 Tank Battalion Dispensary,Isiolo,Isiolo,Isiolo,Wabera,Dispensary,Ministry of Health,,,,Isiolo North,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
13043,7KR MRS Health Centre,Nairobi,Nairobi,Langata,Mugumo-ini,Basic Health Centre,Ministry of Health,,,,Langata,,,,,,,,,,,,,,Yes,Yes,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
14182,8th Street Clinic,Kajiado,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i,Medical Clinic,Private Practice,,,,Kajiado West,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,,,,,,,,,,,,
18137,A to Z Quality Health Family Health Services,Nakuru,Nakuru,Njoro,Njoro,Medical Clinic,Ministry of Health,,,,Njoro,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
15837,A.C.K Butonge Dispensary,Bungoma,Bungoma,Sirisia,Malakisi/South Kulisiru,Dispensary,Faith Based Organization,,,,Sirisia,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
20346,AAR Adams Health Centre,Nairobi,Nairobi,Westlands,Kangemi,Medical Center,Private Practice,,,,Westlands,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
12861,AAR City Centre Clinic,Nairobi,Nairobi,Starehe,Nairobi Central,Medical Clinic,Private Practice,,,,Starehe,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Nairobi,Westlands,Parklands/Highridge,Medical Clinic,Private Practice,,,,Westlands,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
23439,AAR Donholm,Nairobi,Nairobi,Embakasi East,Upper Savannah,Medical Clinic,Private Practice,,,,Embakasi East,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
18178,AAR Eldoret,Uasin Gishu,Uasin Gishu,Soy,Kuinet/Kapsuswa,Medical Clinic,Private Practice,,,,Soy,,,,,,,,,,,,,,Yes,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
19958,AAR Gwh Health Care Ltd,Nairobi,Nairobi,Dagoretti North,Kilimani,Medical Clinic,Private Practice,,,,Dagoretti North,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,Y,,Y,,,,,,,,,,,,,
20405,AAR Health Care,Nairobi,Nairobi,Embakasi East,Embakasi,Medical Clinic,Private Practice,,,,Embakasi East,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
21981,AAR Health Care Ruaka,Kiambu,Kiambu,Kiambaa,Ndenderu,Medical Clinic,Private Practice,,,,Kiambaa,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
20956,AAR Health Care-Kisumu,Kisumu,Kisumu,Kisumu Central,Market Milimani,Medical Clinic,Private Practice,,,,Kisumu Central,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
20940,AAR Healthcare,Kiambu,Kiambu,Thika Town,Township,Medical Clinic,Private Practice,,,,Thika Town,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
24542,AAR Healthcare (K) Limited,Nairobi,Nairobi,Langata,South C,Medical Center,Private Practice,,,,Langata,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
23611,AAR Healthcare buruburu,Nairobi,Nairobi,Makadara,Harambee,Medical Clinic,Private Practice,,,,Makadara,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
18859,AAR Healthcare Limited (Karen),Nairobi,Nairobi,Langata,Karen,Medical Clinic,Private Practice,,,,Langata,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12862,AAR Kariobangi Clinic,Nairobi,Nairobi,Kasarani,Mwiki,Medical Clinic,Private Practice,,,,Kasarani,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
11194,AAR Medical Services (Docks),Mombasa,Mombasa,Mvita,Shimanzi/Ganjoni,Medical Clinic,Private Practice,,,,Mvita,,,,,,,,,,,,,,No,No,Operational,,,,,,,Y,,,,,,,,,,,,,,,
20140,AAR Mountain mall,Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice,,,,Roysambu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
14183,AAR Nakuru Clinic,Nakuru,Nakuru,Nakuru West,London,Medical Clinic,Non-Governmental Organizations,,,,Nakuru Town East,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
21862,AAR Ngong Clinic,Kajiado,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice,,,,Kajiado North,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
22165,AAR Nyali Heallthcare(K) LTD Nyali,Mombasa,Mombasa,Nyali,Ziwa La Ng'ombe,Medical Clinic,Private Practice,,,,Nyali,,,,,,,,,,,,,,No,Yes,Operational,,,,,,,,,,,,,,,,,,,,,,
12863,AAR Thika Road Clinic,Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice,,,,Roysambu,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18821,Abakaile Dispensary,Garissa,Garissa,Dadaab,Abakaile,Dispensary,Ministry of Health,,,,Daadab,,,,,,,,,,,,,,No,No,Operational,,,,,,,,,,,,,,,,,,,,,,
