Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
17009,Abdisamad Dispensary,North Eastern,Garissa,Garissa,Sankuri,Dispensary,Ministry of Health,Sankuri,Abdisamad,Garissa-Dertu road,DUJIS,Abdisamad,0,0,0462103570,0462103052,,,P.O Box 256,,Garissa,70100,David Okoth,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10001,Abel Migwi Johana Laboratory,Central,Kirinyaga,Kirinyaga West,Ndia,Laboratory (Stand-alone),Private Enterprise (Institution),,,,NDIA,,0,0,,,,,,,,10100,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
10003,Aberdare Health Services,Central,Murang'a,Kigumo,Kigumo,Medical Clinic,Private Practice - Nurse / Midwife,Kangari,Kangari,,KIGUMO,Kangari,0,0,,,,,,,,,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
10002,Aberdare Medical & Surgical Clinic,Central,Nyeri,Nyeri South,Othaya,Medical Clinic,Private Practice - Nurse / Midwife,Iriani,Gitundu,,OTHAYA,Othaya Town,0,0,,,0721-348224,,P.O Box P.O. Box 731,,Othaya,10100,Margaret W Chege,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13461,Abidha Health Centre,Nyanza,Siaya,Rarieda,Rarieda,Health Centre,Ministry of Health,East Asembo,Omia Mwalo,Along Asembo Bay- Akado road,RARIEDA,Asembo Bay,16,0,,,0736825824,abidhahealthcentre@gmail.com,P.O Box 71,0739425540,Nyilima,40611,Collins Omondi,Clinical Officer,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
16716,Able Medical Clinic,Western,Kakamega,Kakamega East (Shinyalu),Shinyalu,Medical Clinic,Private Practice - Nurse / Midwife,Shibuye,Shing'Odo,It is located along Shinyalu Khayega road,SHINYALU,Shinyalu,0,0,,,0727-786586,,P.O Box P.O. Box 750 ,,Shinyalu,,Pamela,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,,,,,,,,,,,,
15789,Aboloi Dispensary,Western,Busia,Teso North,Angurai,Dispensary,Ministry of Health,Aboloi,Akachachata,,AMAGORO,Malakisi,0,0,,,,,Please specify P.O. Box 99,,Amagoro,,Zeruya Barwa,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19441,Abra Health Services,Nairobi,Nairobi,Embakasi,Savannah,Medical Clinic,Private Practice - Unspecified,Savannah,Savannah,Near Greenspan  Savanna,EMBAKASI,Donholm,2,1,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19562,Abraham Memorial Nursing Home (Westlands),Nairobi,Nairobi,Westlands,Kangemi,Maternity Home,Private Enterprise (Institution),Kangemi,kangemi,,WESTLANDS,,6,1,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
10004,Abrahams Clinic,Central,Kirinyaga,Kirinyaga West,Ndia,Medical Clinic,Private Enterprise (Institution),,,,NDIA,Sagana,0,0,,,,,,,,,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
