value_reference	name	uuid
13200	St Catherine's Health Centre	06bc1f2c-7254-43d3-a36b-1264f3c895bf
13213	St Lukes (Kona) Health Centre	35ee438d-5682-49de-bd08-05f48e366aa4
17514	Mary Mission	59adcd10-3b6b-4984-859c-ee9696de9624
13091	Mid Hill Medical Clinic	63c17371-0edc-43f3-8c68-fa9889db720a
13227	St Teresa's Health Centre	66c26743-639a-4fec-8965-86cfaacca792
13212	St Jude's Health Centre	85345500-e49f-4fd2-a07a-c700ae6d53f5
12995	Kabiro Medical Clinic	9bec5785-abf3-4486-a76f-90bb9f6cb346
13080	Mbagathi District Hospital	a23261e9-488b-4785-ab2b-d148a06af510
13159	Ray Of Hope Health Centre	a7ec6204-ea0a-435e-a866-9e7cea7c28ab
13249	Waithaka Health Centre	b88b0e3d-a591-46b3-ab8f-125e662acffa
12866	Afya Medical Health Centre	c3785db0-0efb-40c4-aa0a-dc854e60a0fc
13103	Muteithania Medical Clinic	d850b864-a5b5-4279-b335-41863f90e4f0
13089	Mercy Mission Health Centre	e630eab5-f547-4ac2-8308-1317ce76bf5c
13238	Trinity Medical Care Health Centre	e9628054-8dce-4f9b-8ce2-3aaa6af9beb4
13256	Wema Nursing Home	f311a4aa-b0ab-4383-825f-38978525ec44
10007	Afya Bora Medical Clinic (Muchagara)	87b2f0a7-1932-4cb1-be38-74f367cafc84
10008	Afya Bora Medical Clinic (Nyeri South)	f9fd5d70-9eeb-4f09-8c3f-8aea8709de4f
14186	Afya Bora Medical Clinic (Turkana Central)	c4fb2bd7-7b7e-437b-be7f-d827cb126231
11201	Afya Clinic	9997b384-1a38-4f18-a9f4-1880b1623a84
13269	Afya Clinic (Garissa)	bdfd8394-fc61-4bfc-9696-65e39afa8628
14187	Afya Frank Medical Clinic	1e2bc59b-78fb-4491-bfba-cb50e9440efe
18486	Afya Health Care	3dc2a802-7f02-4c45-b1f7-78e9285a5755
10009	Afya Health Services	511e4513-dd76-494e-be12-1cf04cde8c35
18344	Afya house dispensary	3a0130c9-89fd-4fe2-90ce-c709e18bc0c3
16556	Afya Medical clinic	ad6e1fba-87ce-4fb7-8ab1-f0745461c804
10015	Afya Medical Clinic	ff2d3e60-64a7-4c34-baf8-36b63cfc354a
11920	Afya Medical Clinic (Kangundo)	80956894-4f92-4313-bc2d-f981b00a95c7
10012	Afya Medical Clinic (Kibingoti)	b9ef4e83-176a-4364-8b0f-111aeb586a4b
10006	Afya Medical Clinic (Kirinyaga)	023ddcc5-36e5-41d1-8427-d5c7c32ab187
10010	Afya Medical Clinic (Muranga North)	3189f2ec-5e21-408e-bf24-990ea46066b6
18440	Afya Medical Clinic (Nakuru)	f2a748cc-f737-4093-9853-fc64f28d6556
10013	Afya Medical Clinic (Nyeri North)	0e8a6e52-d6a7-4bc8-8c59-073abe213c21
10014	Afya Medical Clinic (Nyeri South)	c269cc9f-44c6-4ef0-8494-06e0d8295e46
13270	Afya Medical Clinic (Wajir East)	4f3cc0f0-da56-4b10-95ec-e06d9b82be41
18730	Afya Medical Clinic(Meru)	faa286fb-55d3-4f06-961e-c52824665300
13271	Afya Medicare Clinic (Wajir East)	1ff8c107-3a7c-437a-8108-3a52043db229
11921	Afya Njema Clinic	80d91d07-4a9d-4222-924b-53906f9aa626
14188	Afya Njema Medical Clinic	ad13edf1-3f6c-4dfe-8df0-f061f740006d
18021	Afya Njema Medical Clinic (Nyeri North)	e7e759f2-ef67-479e-81ea-c7f23bb16a8b
17431	AIC Kalamba Dispensary	c2d068d1-bedf-46ae-99ac-d4a0b4adc122
14178	AIC Litein Mission Hospital	fc08d91f-fb24-4ec2-ba22-914f2bf5f77d
17655	AIC Liten  VCT	f9556375-e812-46b3-8008-02411976893e
12558	AIC Mukaa Dispensary	9aa92cd9-6a15-4c4d-a3c5-e72d401ab34a
18439	Aic parkview dispensary	d791f0bd-dc04-43cb-bf15-1e1f0c8ff560
16350	Ainabkoi (RCEA) Health Centre	392032f1-eb19-4c94-9fa5-563553684b72
14192	Ainamoi Health Centre	60dfbfe3-6c2d-479a-aa4b-074f67d0cca8
11922	Air Port Medical Centre	654706ce-bf4b-4bac-8eb1-64a60c170d04
13469	Airport Dispensary (Kisumu)	c8c05d16-668b-42a6-98c4-bc2e1fdef0e9
11204	Airport View Medical Clinic	a0dfb104-0592-4081-a2cf-d95a2ed19792
18038	Airstrip Medical clinic (Moyale)	4d913158-b607-4e95-a411-0d90c687d602
14193	Aiyebo Dispensary	06ab33d7-ee6c-4365-8202-442f7c5fcfb7
18398	Ajam VCT	a0e30b0b-76ca-4d47-a8ef-c35cd64e0ea6
13272	Ajawa Health Centre	c534c77b-b7a8-4b18-884f-8690c8f07431
11923	Akachiu Health Centre	7f996d3d-7bb4-4e23-bc81-aecbe72d6663
13470	Akado Dispensary	8b02a7fe-5165-4112-a514-1eba27a6d7e8
13471	Akala Health Centre	4fb85ade-1e7c-416c-888f-6cb824c0ca49
17770	Akemo Medical Clinic	25cf574b-6ced-4706-816c-27a6fcd0aeca
14194	Akemo Nursing Home	b2d1eb69-b74b-45a2-8533-250604de446c
18764	Akicha Medical Services	0b7f51b8-4724-46d8-aaa4-8cd424d8825a
15792	Akichelesit Dispensary	e2e1de99-b33a-43bd-94d1-ff0aa157c05c
13462	Akidiva Clinic	c3fd03a8-9adc-4d17-b637-2fbdd4c924fd
18769	Al Amin Nursing Home	d7149d50-c02b-46b9-9bbd-35280c0eee01
14198	Amakuriat Dispensary	3e3e312a-e255-49fe-bf09-593a38b4d007
16308	Amal Medical Clinic	2da90683-22ad-4d35-934c-7745b2d3cc09
11926	Amani Afya Clinic (Kibwezi)	9894bfd1-9edb-4bdf-a945-1703b31be3e6
10024	Amani Clinic	38b38c44-1d37-49fe-9e9b-e7201ad660c1
10025	Amani Clinic (Kamugunda)	f262149d-60c8-4bb9-8c50-566a9f111aaf
13474	Amani Medical Centre (Suneka)	4b80366d-748e-4222-a636-cd3038b67e47
11216	Amani Medical Clinic (Changamwe)	2220d2ea-d424-4b99-9637-cc8e0cc65aa4
11925	Amani Medical Clinic (Kibwezi)	127da8bc-e057-4a61-8f6c-588a3b28d989
11217	Amani Medical Clinic (Kilifi)	f0bb1987-ea82-4f31-a9e3-9ede0570bd2d
11218	Amani Medical Clinic (Likoni)	1da2af1c-dc77-418e-8e3f-d2c4019fc119
11219	Amani Medical Clinic (Malindi)	29919b62-51ff-4059-a4b8-42719ecb76bc
10026	Amani Medical Clinic (Nyeri North)	95a56371-4056-464c-93a8-d09f225c11a5
